VLAN,Label,IPv6 Net,IPv4 Net
1079,"""Research"" VPN 9",fd8d:6ff2:7bc:79,192.168.79.0/30
1080,VPN 4/0,fd8d:6ff2:7bc:80,192.168.80.0/30
1081,VPN 4/1,fd8d:6ff2:7bc:81,192.168.81.0/30
1082,VPN 4/2,fd8d:6ff2:7bc:82,192.168.82.0/30
1083,VPN 4/3,fd8d:6ff2:7bc:83,192.168.83.0/30
1084,VPN 4/4,fd8d:6ff2:7bc:84,192.168.84.0/30
1085,VPN 4/5,fd8d:6ff2:7bc:85,192.168.85.0/30
1086,VPN 4/6,fd8d:6ff2:7bc:86,192.168.86.0/30
1087,VPN 4/7,fd8d:6ff2:7bc:87,192.168.87.0/30
1088,VPN 4/8,fd8d:6ff2:7bc:88,192.168.88.0/30
1089,VPN 4/9,fd8d:6ff2:7bc:89,192.168.89.0/30
1090,VPN 5/0,fd8d:6ff2:7bc:90,192.168.90.0/30
1091,VPN 5/1,fd8d:6ff2:7bc:91,192.168.91.0/30
1092,VPN 5/2,fd8d:6ff2:7bc:92,192.168.92.0/30
1093,VPN 5/3,fd8d:6ff2:7bc:93,192.168.93.0/30
1094,VPN 5/4,fd8d:6ff2:7bc:94,192.168.94.0/30
1095,VPN 5/5,fd8d:6ff2:7bc:95,192.168.95.0/30
1096,VPN 5/6,fd8d:6ff2:7bc:96,192.168.96.0/30
1097,VPN 5/7,fd8d:6ff2:7bc:97,192.168.97.0/30
1098,VPN 5/8,fd8d:6ff2:7bc:98,192.168.98.0/30
1099,VPN 5/9,fd8d:6ff2:7bc:99,192.168.99.0/30
1100,CPE-EMTA/RESERVED,Not Registered,192.168.100.1/32        (*Host)
1101,EXT-NAT-1,fd8d:6ff2:7bc:101,192.168.101.0/29
1102,EXT-NAT-2,fd8d:6ff2:7bc:102,192.168.102.0/29
1103,EXT-NAT-3,fd8d:6ff2:7bc:103,192.168.103.0
1104,EXT-NAT-4,fd8d:6ff2:7bc:103,192.168.104.0
1200,DMZ-0-0,fd8d:6ff2:7bc:1200,10.0.0.0
1201,DMZ-0-1,fd8d:6ff2:7bc:1201,10.0.1.0
1202,DMZ-0-2,fd8d:6ff2:7bc:1202,10.0.2.0
1203,DMZ-0-3,fd8d:6ff2:7bc:1203,10.0.3.0
1204,DMZ-0-4,fd8d:6ff2:7bc:1204,10.0.4.0
1205,DMZ-0-5,fd8d:6ff2:7bc:1205,10.0.5.0
1206,DMZ-0-6,fd8d:6ff2:7bc:1206,10.0.6.0
1207,DMZ-0-7,fd8d:6ff2:7bc:1207,10.0.7.0
1208,DMZ-0-8,fd8d:6ff2:7bc:1208,10.0.8.0
1209,DMZ-0-9,fd8d:6ff2:7bc:1209,10.0.9.0
1210,DMZ-0-10,fd8d:6ff2:7bc:1210,10.0.10.0
1211,DMZ-0-11,fd8d:6ff2:7bc:1211,10.0.11.0
1212,DMZ-0-12,fd8d:6ff2:7bc:1212,10.0.12.0
1213,DMZ-0-13,fd8d:6ff2:7bc:1213,10.0.13.0
1214,DMZ-0-14,fd8d:6ff2:7bc:1214,10.0.14.0
1215,DMZ-0-15,fd8d:6ff2:7bc:1215,10.0.15.0
1216,DMZ-0-16,fd8d:6ff2:7bc:1216,10.0.16.0
1217,DMZ-0-17,fd8d:6ff2:7bc:1217,10.0.17.0
1218,DMZ-0-18,fd8d:6ff2:7bc:1218,10.0.18.0
1219,DMZ-0-19,fd8d:6ff2:7bc:1219,10.0.19.0
1220,DMZ-0-20,fd8d:6ff2:7bc:1220,10.0.20.0
1221,DMZ-0-21,fd8d:6ff2:7bc:1221,10.0.21.0
1222,DMZ-0-22,fd8d:6ff2:7bc:1222,10.0.22.0
1223,DMZ-0-23,fd8d:6ff2:7bc:1223,10.0.23.0
1224,DMZ-0-24,fd8d:6ff2:7bc:1224,10.0.24.0
1225,DMZ-0-25,fd8d:6ff2:7bc:1225,10.0.25.0
1226,DMZ-0-26,fd8d:6ff2:7bc:1226,10.0.26.0
1227,DMZ-0-27,fd8d:6ff2:7bc:1227,10.0.27.0
1228,DMZ-0-28,fd8d:6ff2:7bc:1228,10.0.28.0
1229,DMZ-0-29,fd8d:6ff2:7bc:1229,10.0.29.0
1230,DMZ-0-30,fd8d:6ff2:7bc:1230,10.0.30.0
1231,DMZ-0-31,fd8d:6ff2:7bc:1231,10.0.31.0
1232,DMZ-0-32,fd8d:6ff2:7bc:1232,10.0.32.0
1233,DMZ-0-33,fd8d:6ff2:7bc:1233,10.0.33.0
1234,DMZ-0-34,fd8d:6ff2:7bc:1234,10.0.34.0
1235,DMZ-0-35,fd8d:6ff2:7bc:1235,10.0.35.0
1236,DMZ-0-36,fd8d:6ff2:7bc:1236,10.0.36.0
1237,DMZ-0-37,fd8d:6ff2:7bc:1237,10.0.37.0
1238,DMZ-0-38,fd8d:6ff2:7bc:1238,10.0.38.0
1239,DMZ-0-39,fd8d:6ff2:7bc:1239,10.0.39.0
1240,DMZ-0-40,fd8d:6ff2:7bc:1240,10.0.40.0
1241,DMZ-0-41,fd8d:6ff2:7bc:1241,10.0.41.0
1242,DMZ-0-42,fd8d:6ff2:7bc:1242,10.0.42.0
1243,DMZ-0-43,fd8d:6ff2:7bc:1243,10.0.43.0
1244,DMZ-0-44,fd8d:6ff2:7bc:1244,10.0.44.0
1245,DMZ-0-45,fd8d:6ff2:7bc:1245,10.0.45.0
1246,DMZ-0-46,fd8d:6ff2:7bc:1246,10.0.46.0
1247,DMZ-0-47,fd8d:6ff2:7bc:1247,10.0.47.0
1248,DMZ-0-48,fd8d:6ff2:7bc:1248,10.0.48.0
1249,DMZ-0-49,fd8d:6ff2:7bc:1249,10.0.49.0
1250,DMZ-0-50,fd8d:6ff2:7bc:1250,10.0.50.0
1251,DMZ-0-51,fd8d:6ff2:7bc:1251,10.0.51.0
1252,DMZ-0-52,fd8d:6ff2:7bc:1252,10.0.52.0
1253,DMZ-0-53,fd8d:6ff2:7bc:1253,10.0.53.0
1254,DMZ-0-54,fd8d:6ff2:7bc:1254,10.0.54.0
1255,DMZ-0-55,fd8d:6ff2:7bc:1255,10.0.55.0
1256,DMZ-0-56,fd8d:6ff2:7bc:1256,10.0.56.0
1257,DMZ-0-57,fd8d:6ff2:7bc:1257,10.0.57.0
1258,DMZ-0-58,fd8d:6ff2:7bc:1258,10.0.58.0
1259,DMZ-0-59,fd8d:6ff2:7bc:1259,10.0.59.0
1260,DMZ-0-60,fd8d:6ff2:7bc:1260,10.0.60.0
1261,DMZ-0-61,fd8d:6ff2:7bc:1261,10.0.61.0
1262,DMZ-0-62,fd8d:6ff2:7bc:1262,10.0.62.0
1263,DMZ-0-63,fd8d:6ff2:7bc:1263,10.0.63.0
1264,DMZ-0-64,fd8d:6ff2:7bc:1264,10.0.64.0
1265,DMZ-0-65,fd8d:6ff2:7bc:1265,10.0.65.0
1266,DMZ-0-66,fd8d:6ff2:7bc:1266,10.0.66.0
1267,DMZ-0-67,fd8d:6ff2:7bc:1267,10.0.67.0
1268,DMZ-0-68,fd8d:6ff2:7bc:1268,10.0.68.0
1269,DMZ-0-69,fd8d:6ff2:7bc:1269,10.0.69.0
1270,DMZ-0-70,fd8d:6ff2:7bc:1270,10.0.70.0
1271,DMZ-0-71,fd8d:6ff2:7bc:1271,10.0.71.0
1272,DMZ-0-72,fd8d:6ff2:7bc:1272,10.0.72.0
1273,DMZ-0-73,fd8d:6ff2:7bc:1273,10.0.73.0
1274,DMZ-0-74,fd8d:6ff2:7bc:1274,10.0.74.0
1275,DMZ-0-75,fd8d:6ff2:7bc:1275,10.0.75.0
1276,DMZ-0-76,fd8d:6ff2:7bc:1276,10.0.76.0
1277,DMZ-0-77,fd8d:6ff2:7bc:1277,10.0.77.0
1278,DMZ-0-78,fd8d:6ff2:7bc:1278,10.0.78.0
1279,DMZ-0-79,fd8d:6ff2:7bc:1279,10.0.79.0
1280,DMZ-0-80,fd8d:6ff2:7bc:1280,10.0.80.0
1281,DMZ-0-81,fd8d:6ff2:7bc:1281,10.0.81.0
1282,DMZ-0-82,fd8d:6ff2:7bc:1282,10.0.82.0
1283,DMZ-0-83,fd8d:6ff2:7bc:1283,10.0.83.0
1284,DMZ-0-84,fd8d:6ff2:7bc:1284,10.0.84.0
1285,DMZ-0-85,fd8d:6ff2:7bc:1285,10.0.85.0
1286,DMZ-0-86,fd8d:6ff2:7bc:1286,10.0.86.0
1287,DMZ-0-87,fd8d:6ff2:7bc:1287,10.0.87.0
1288,DMZ-0-88,fd8d:6ff2:7bc:1288,10.0.88.0
1289,DMZ-0-89,fd8d:6ff2:7bc:1289,10.0.89.0
1290,DMZ-0-90,fd8d:6ff2:7bc:1290,10.0.90.0
1291,DMZ-0-91,fd8d:6ff2:7bc:1291,10.0.91.0
1292,DMZ-0-92,fd8d:6ff2:7bc:1292,10.0.92.0
1293,DMZ-0-93,fd8d:6ff2:7bc:1293,10.0.93.0
1294,DMZ-0-94,fd8d:6ff2:7bc:1294,10.0.94.0
1295,DMZ-0-95,fd8d:6ff2:7bc:1295,10.0.95.0
1296,DMZ-0-96,fd8d:6ff2:7bc:1296,10.0.96.0
1297,DMZ-0-97,fd8d:6ff2:7bc:1297,10.0.97.0
1298,DMZ-0-98,fd8d:6ff2:7bc:1298,10.0.98.0
1299,DMZ-0-99,fd8d:6ff2:7bc:1299,10.0.99.0
1300,DMZ-1-0,fd8d:6ff2:7bc:1300,10.1.0.0
1301,DMZ-1-1,fd8d:6ff2:7bc:1301,10.1.1.0
1302,DMZ-1-2,fd8d:6ff2:7bc:1302,10.1.2.0
1303,DMZ-1-3,fd8d:6ff2:7bc:1303,10.1.3.0
1304,DMZ-1-4,fd8d:6ff2:7bc:1304,10.1.4.0
1305,DMZ-1-5,fd8d:6ff2:7bc:1305,10.1.5.0
1306,DMZ-1-6,fd8d:6ff2:7bc:1306,10.1.6.0
1307,DMZ-1-7,fd8d:6ff2:7bc:1307,10.1.7.0
1308,DMZ-1-8,fd8d:6ff2:7bc:1308,10.1.8.0
1309,DMZ-1-9,fd8d:6ff2:7bc:1309,10.1.9.0
1310,DMZ-1-10,fd8d:6ff2:7bc:1310,10.1.10.0
1311,DMZ-1-11,fd8d:6ff2:7bc:1311,10.1.11.0
1312,DMZ-1-12,fd8d:6ff2:7bc:1312,10.1.12.0
1313,DMZ-1-13,fd8d:6ff2:7bc:1313,10.1.13.0
1314,DMZ-1-14,fd8d:6ff2:7bc:1314,10.1.14.0
1315,DMZ-1-15,fd8d:6ff2:7bc:1315,10.1.15.0
1316,DMZ-1-16,fd8d:6ff2:7bc:1316,10.1.16.0
1317,DMZ-1-17,fd8d:6ff2:7bc:1317,10.1.17.0
1318,DMZ-1-18,fd8d:6ff2:7bc:1318,10.1.18.0
1319,DMZ-1-19,fd8d:6ff2:7bc:1319,10.1.19.0
1320,DMZ-1-20,fd8d:6ff2:7bc:1320,10.1.20.0
1321,DMZ-1-21,fd8d:6ff2:7bc:1321,10.1.21.0
1322,DMZ-1-22,fd8d:6ff2:7bc:1322,10.1.22.0
1323,DMZ-1-23,fd8d:6ff2:7bc:1323,10.1.23.0
1324,DMZ-1-24,fd8d:6ff2:7bc:1324,10.1.24.0
1325,DMZ-1-25,fd8d:6ff2:7bc:1325,10.1.25.0
1326,DMZ-1-26,fd8d:6ff2:7bc:1326,10.1.26.0
1327,DMZ-1-27,fd8d:6ff2:7bc:1327,10.1.27.0
1328,DMZ-1-28,fd8d:6ff2:7bc:1328,10.1.28.0
1329,DMZ-1-29,fd8d:6ff2:7bc:1329,10.1.29.0
1330,DMZ-1-30,fd8d:6ff2:7bc:1330,10.1.30.0
1331,DMZ-1-31,fd8d:6ff2:7bc:1331,10.1.31.0
1332,DMZ-1-32,fd8d:6ff2:7bc:1332,10.1.32.0
1333,DMZ-1-33,fd8d:6ff2:7bc:1333,10.1.33.0
1334,DMZ-1-34,fd8d:6ff2:7bc:1334,10.1.34.0
1335,DMZ-1-35,fd8d:6ff2:7bc:1335,10.1.35.0
1336,DMZ-1-36,fd8d:6ff2:7bc:1336,10.1.36.0
1337,DMZ-1-37,fd8d:6ff2:7bc:1337,10.1.37.0
1338,DMZ-1-38,fd8d:6ff2:7bc:1338,10.1.38.0
1339,DMZ-1-39,fd8d:6ff2:7bc:1339,10.1.39.0
1340,DMZ-1-40,fd8d:6ff2:7bc:1340,10.1.40.0
1341,DMZ-1-41,fd8d:6ff2:7bc:1341,10.1.41.0
1342,DMZ-1-42,fd8d:6ff2:7bc:1342,10.1.42.0
1343,DMZ-1-43,fd8d:6ff2:7bc:1343,10.1.43.0
1344,DMZ-1-44,fd8d:6ff2:7bc:1344,10.1.44.0
1345,DMZ-1-45,fd8d:6ff2:7bc:1345,10.1.45.0
1346,DMZ-1-46,fd8d:6ff2:7bc:1346,10.1.46.0
1347,DMZ-1-47,fd8d:6ff2:7bc:1347,10.1.47.0
1348,DMZ-1-48,fd8d:6ff2:7bc:1348,10.1.48.0
1349,DMZ-1-49,fd8d:6ff2:7bc:1349,10.1.49.0
1350,DMZ-1-50,fd8d:6ff2:7bc:1350,10.1.50.0
1351,DMZ-1-51,fd8d:6ff2:7bc:1351,10.1.51.0
1352,DMZ-1-52,fd8d:6ff2:7bc:1352,10.1.52.0
1353,DMZ-1-53,fd8d:6ff2:7bc:1353,10.1.53.0
1354,DMZ-1-54,fd8d:6ff2:7bc:1354,10.1.54.0
1355,DMZ-1-55,fd8d:6ff2:7bc:1355,10.1.55.0
1356,DMZ-1-56,fd8d:6ff2:7bc:1356,10.1.56.0
1357,DMZ-1-57,fd8d:6ff2:7bc:1357,10.1.57.0
1358,DMZ-1-58,fd8d:6ff2:7bc:1358,10.1.58.0
1359,DMZ-1-59,fd8d:6ff2:7bc:1359,10.1.59.0
1360,DMZ-1-60,fd8d:6ff2:7bc:1360,10.1.60.0
1361,DMZ-1-61,fd8d:6ff2:7bc:1361,10.1.61.0
1362,DMZ-1-62,fd8d:6ff2:7bc:1362,10.1.62.0
1363,DMZ-1-63,fd8d:6ff2:7bc:1363,10.1.63.0
